qc_cat,_latitude,_longitude,country,barcode
ORIG: Original,-16.7947498,-70.3358146,Perú,474501
ORIG: Original,-16.7945307,-70.3359297,Perú,474502
ORIG: Original,-16.794741,-70.3360408,Perú,474504
ORIG: Original,-16.7947662,-70.3364094,Perú,474505
ORIG: Original,-16.7946799,-70.33619234,Perú,474506
ORIG: Original,-16.7944503,-70.336897,Perú,474507
ORIG: Original,-16.7944985,-70.3364601,Perú,474508
ORIG: Original,-16.794477,-70.3360929,Perú,474509
ORIG: Original,-16.794058,-70.3359053,Perú,474510
ORIG: Original,-16.7942677,-70.3360154,Perú,474512
ORIG: Original,-16.794687,-70.3371881,Perú,474513
ORIG: Original,-16.7942368,-70.3364817,Perú,474514
D: Duplicated,-16.7942503,-70.3365101,Perú,474515
ORIG: Original,-16.7937884,-70.3357506,Perú,474516
ORIG: Original,-16.7947192,-70.3369591,Perú,474517
ORIG: Original,-16.7942533,-70.3367276,Perú,474518
ORIG: Original,-16.794028,-70.3366084,Perú,474519
ORIG: Original,-16.7938083,-70.336489,Perú,474520
ORIG: Original,-16.7935844,-70.3363657,Perú,474521
ORIG: Original,-16.793346,-70.3362546,Perú,474522
ORIG: Original,-16.793135,-70.3361348,Perú,474523
ORIG: Original,-16.7926824,-70.3358885,Perú,474524
ORIG: Original,-16.7947338,-70.336718,Perú,474525
ORIG: Original,-16.79401788,-70.33638577,Perú,474526
ORIG: Original,-16.7938289,-70.3361961,Perú,474527
ORIG: Original,-16.79401947,-70.33613037,Perú,474528
BLANK: Blank,-16.8854094,-70.3740906,Perú,474529
ORIG: Original,-16.7942054,-70.3356466,Perú,474530
ORIG: Original,-16.7935511,-70.3361085,Perú,474531
ORIG: Original,-16.7934007,-70.3359026,Perú,474532
ORIG: Original,-16.79330442,-70.33571681,Perú,474533
ORIG: Original,-16.7922537,-70.3340137,Perú,474534
D: Duplicated,-16.7922387,-70.3340268,Perú,474535
ORIG: Original,-16.7924612,-70.3331834,Perú,474536
ORIG: Original,-16.792477,-70.3334385,Perú,474537
ORIG: Original,-16.7924629,-70.3336587,Perú,474538
ORIG: Original,-16.7924447,-70.3339278,Perú,474539
ORIG: Original,-16.7924655,-70.3341122,Perú,474540
ORIG: Original,-16.7927174,-70.3337826,Perú,474542
ORIG: Original,-16.7926832,-70.3340111,Perú,474543
ORIG: Original,-16.7926966,-70.334251,Perú,474544
ORIG: Original,-16.7924729,-70.3343752,Perú,474545
ORIG: Original,-16.7924611,-70.3346045,Perú,474546
ORIG: Original,-16.7926684,-70.3347141,Perú,474547
ORIG: Original,-16.7926822,-70.3349491,Perú,474548
ORIG: Original,-16.7922602,-70.3323364,Perú,474549
ORIG: Original,-16.7922219,-70.3325839,Perú,474550
ORIG: Original,-16.7922439,-70.3329016,Perú,474551
ORIG: Original,-16.7922319,-70.3330527,Perú,474552
ORIG: Original,-16.7921988,-70.33331491,Perú,474553
ORIG: Original,-16.7917679,-70.3330416,Perú,474554
D: Duplicated,-16.7918223,-70.3330435,Perú,474555
ORIG: Original,-16.7922529,-70.3335514,Perú,474556
ORIG: Original,-16.7922255,-70.3338012,Perú,474557
ORIG: Original,-16.7922332,-70.33424331,Perú,474558
BLANK: Blank,-16.8853476,-70.3739131,Perú,474559
ORIG: Original,-16.7922209,-70.3344781,Perú,474560
ORIG: Original,-16.7921916,-70.3347396,Perú,474561
ORIG: Original,-16.7922168,-70.3349727,Perú,474562
ORIG: Original,-16.7922284,-70.335182,Perú,474563
ORIG: Original,-16.79220367,-70.33546047,Perú,474564
ORIG: Original,-16.7918379,-70.3309676,Perú,474579
ORIG: Original,-16.7918154,-70.331202,Perú,474580
ORIG: Original,-16.7917789,-70.3314815,Perú,474581
ORIG: Original,-16.7918079,-70.3316717,Perú,474582
ORIG: Original,-16.7918161,-70.3319029,Perú,474583
ORIG: Original,-16.7918312,-70.332134,Perú,474584
ORIG: Original,-16.791757,-70.3323473,Perú,474585
ORIG: Original,-16.791767,-70.3325803,Perú,474586
ORIG: Original,-16.7917954,-70.3328295,Perú,474587
ORIG: Original,-16.79177006,-70.33329432,Perú,474588
ORIG: Original,-16.79178227,-70.33351997,Perú,474590
ORIG: Original,-16.7917962,-70.3337377,Perú,474591
